Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
5,FAST,BRIEF,MAT_BF,SEL_KNN,2.39363,5180,0,18.2837,410.725,3102,191,11,16,
6,FAST,BRIEF,MAT_BF,SEL_KNN,2.50906,5192,0,17.7322,403.141,3103,204,7,12,
7,FAST,BRIEF,MAT_BF,SEL_KNN,2.48351,5177,0,17.6993,404.334,2985,215,14,34,
8,FAST,BRIEF,MAT_BF,SEL_KNN,2.54877,5176,0,18.2167,399.036,3021,212,7,9,
9,FAST,BRIEF,MAT_BF,SEL_KNN,2.43268,5225,0,18.3642,400.376,3055,220,10,18,
10,FAST,BRIEF,MAT_BF,SEL_KNN,2.4781,5331,0,18.8878,425.985,3003,225,9,18,
11,FAST,BRIEF,MAT_BF,SEL_KNN,2.56317,5351,0,19.3155,426.662,3075,228,10,3,
12,FAST,BRIEF,MAT_BF,SEL_KNN,2.55047,5244,0,19.1289,425.983,3088,242,529,-10,
13,FAST,BRIEF,MAT_BF,SEL_KNN,2.62848,5231,0,18.907,418.052,3093,246,14,9,
14,FAST,BRIEF,MAT_BF,SEL_KNN,2.52112,5286,0,18.4672,410.877,3065,232,8,10,
15,FAST,BRIEF,MAT_BF,SEL_KNN,2.48516,5464,0,19.58,432.789,3135,239,6,8,
16,FAST,BRIEF,MAT_BF,SEL_KNN,2.54664,5464,3,19.062,462.898,3275,235,11,3,
17,FAST,BRIEF,MAT_BF,SEL_KNN,2.49969,5563,0,18.966,442.379,3318,225,14,-9,
18,FAST,BRIEF,MAT_BF,SEL_KNN,2.46162,5497,38,19.7388,447.242,3329,226,5,8,

0,FAST,ORB,MAT_BF,SEL_KNN,2.47335,5275,0,8.78673,0,0,,,,
1,FAST,ORB,MAT_BF,SEL_KNN,2.47045,5291,0,9.03223,419.924,2897,181,4,12,
2,FAST,ORB,MAT_BF,SEL_KNN,2.44068,5202,0,8.74302,408.245,2833,192,7,12,
3,FAST,ORB,MAT_BF,SEL_KNN,2.40314,5090,0,8.63603,402.395,2853,212,66,13,
4,FAST,ORB,MAT_BF,SEL_KNN,2.56326,5118,0,8.55704,392.643,2781,195,3,7,
5,FAST,ORB,MAT_BF,SEL_KNN,2.60774,5180,0,8.795,404.154,2864,185,17,16,
6,FAST,ORB,MAT_BF,SEL_KNN,2.73842,5192,0,8.5178,395.549,2802,191,10,12,
7,FAST,ORB,MAT_BF,SEL_KNN,2.46792,5177,0,8.64359,391.24,2717,201,9,34,
8,FAST,ORB,MAT_BF,SEL_KNN,2.88428,5176,0,8.5267,386.542,2804,206,11,9,
9,FAST,ORB,MAT_BF,SEL_KNN,2.97446,5225,0,8.75774,396.92,2803,213,10,18,
10,FAST,ORB,MAT_BF,SEL_KNN,2.78443,5331,0,9.86688,411.256,2769,204,10,18,
11,FAST,ORB,MAT_BF,SEL_KNN,2.93244,5351,0,8.78123,412.217,2821,210,13,3,
12,FAST,ORB,MAT_BF,SEL_KNN,2.97931,5244,0,8.9152,420.79,2823,218,32,-10,
13,FAST,ORB,MAT_BF,SEL_KNN,2.44897,5231,0,9.09313,404.385,2830,240,8,9,
14,FAST,ORB,MAT_BF,SEL_KNN,2.88114,5286,0,9.06986,395.63,2830,225,8,10,
15,FAST,ORB,MAT_BF,SEL_KNN,2.78334,5464,0,9.06594,413.14,2912,220,7,8,
16,FAST,ORB,MAT_BF,SEL_KNN,2.79598,5464,3,8.89605,428.125,3072,221,14,3,
17,FAST,ORB,MAT_BF,SEL_KNN,2.58197,5563,0,12.5827,436.915,3054,220,6,-9,
18,FAST,ORB,MAT_BF,SEL_KNN,2.55933,5497,38,9.0275,432.988,3102,216,14,8,

0,FAST,FREAK,MAT_BF,SEL_KNN,2.42906,5275,0,87.584,0,0,,,,
1,FAST,FREAK,MAT_BF,SEL_KNN,2.42461,5291,0,89.6594,488.866,2148,146,33,12,
2,FAST,FREAK,MAT_BF,SEL_KNN,2.40792,5202,0,90.2003,485.165,2185,143,5,12,
3,FAST,FREAK,MAT_BF,SEL_KNN,2.45783,5090,0,88.9739,473.999,2233,158,6,13,
4,FAST,FREAK,MAT_BF,SEL_KNN,2.62754,5118,0,91.1733,467.746,2062,155,13,7,
5,FAST,FREAK,MAT_BF,SEL_KNN,2.34615,5180,0,86.5258,460.546,2205,134,39,16,
6,FAST,FREAK,MAT_BF,SEL_KNN,2.44364,5192,0,88.4172,462.859,2135,144,7,12,
7,FAST,FREAK,MAT_BF,SEL_KNN,2.40427,5177,0,87.7606,458.179,2087,154,10,34,
8,FAST,FREAK,MAT_BF,SEL_KNN,2.40131,5176,0,89.3027,455.107,2097,158,11,9,
9,FAST,FREAK,MAT_BF,SEL_KNN,2.39189,5225,0,89.1499,465.983,2070,157,41,18,
10,FAST,FREAK,MAT_BF,SEL_KNN,2.41412,5331,0,92.0568,483.196,2101,171,12,18,
11,FAST,FREAK,MAT_BF,SEL_KNN,2.4899,5351,0,90.7975,493.036,2208,170,9,3,
12,FAST,FREAK,MAT_BF,SEL_KNN,2.4134,5244,0,89.7963,477.902,2163,175,10,-10,
13,FAST,FREAK,MAT_BF,SEL_KNN,2.55003,5231,0,89.9327,475.808,2147,199,11,9,
14,FAST,FREAK,MAT_BF,SEL_KNN,2.48801,5286,0,92.4124,475.166,2212,172,15,10,
15,FAST,FREAK,MAT_BF,SEL_KNN,2.66204,5464,0,92.099,500.758,2273,174,41,8,
16,FAST,FREAK,MAT_BF,SEL_KNN,2.79195,5464,3,90.8684,504.603,2348,185,4,3,
17,FAST,FREAK,MAT_BF,SEL_KNN,2.87658,5563,0,90.5777,513.494,2397,169,11,-9,
18,FAST,FREAK,MAT_BF,SEL_KNN,2.48305,5497,38,91.3335,516.368,2376,163,21,8,

0,FAST,SIFT,MAT_BF,SEL_KNN,2.59379,5275,0,434.76,0,0,,,,
1,FAST,SIFT,MAT_BF,SEL_KNN,2.78064,5291,0,434.413,1178.49,3457,202,9,12,
2,FAST,SIFT,MAT_BF,SEL_KNN,3.02909,5202,0,425.873,1135.41,3422,214,13,12,
3,FAST,SIFT,MAT_BF,SEL_KNN,3.12759,5090,0,420.632,1125.19,3313,217,6,13,
4,FAST,SIFT,MAT_BF,SEL_KNN,3.16148,5118,0,421.611,1125.84,3308,205,25,7,
5,FAST,SIFT,MAT_BF,SEL_KNN,3.11917,5180,0,425.065,1094.06,3376,208,5,16,
6,FAST,SIFT,MAT_BF,SEL_KNN,2.45771,5192,0,432.208,1134.89,3412,208,14,12,
7,FAST,SIFT,MAT_BF,SEL_KNN,2.42227,5177,0,428.712,1156.48,3330,228,10,34,
8,FAST,SIFT,MAT_BF,SEL_KNN,3.27307,5176,0,426.879,1098.24,3343,213,5,9,
9,FAST,SIFT,MAT_BF,SEL_KNN,3.09969,5225,0,428.366,1145.46,3357,219,11,18,
10,FAST,SIFT,MAT_BF,SEL_KNN,3.13734,5331,0,436.837,1165.84,3394,235,17,18,
11,FAST,SIFT,MAT_BF,SEL_KNN,2.39837,5351,0,439.571,1200,3337,228,22,3,
12,FAST,SIFT,MAT_BF,SEL_KNN,3.51325,5244,0,435.11,1141.62,3389,228,17,-10,
13,FAST,SIFT,MAT_BF,SEL_KNN,3.06502,5231,0,431.704,1146.83,3356,257,10,9,
14,FAST,SIFT,MAT_BF,SEL_KNN,3.19155,5286,0,438.125,1149.11,3477,232,12,10,
15,FAST,SIFT,MAT_BF,SEL_KNN,3.67098,5464,0,452.338,1241.64,3543,240,3,8,
16,FAST,SIFT,MAT_BF,SEL_KNN,3.14377,5464,3,450.653,1278.42,3627,238,15,3,
17,FAST,SIFT,MAT_BF,SEL_KNN,3.2444,5563,0,460.961,1295.67,3627,236,6,-9,
18,FAST,SIFT,MAT_BF,SEL_KNN,3.28733,5497,38,458.376,1291.96,3733,232,20,8,

0,BRISK,BRISK,MAT_BF,SEL_KNN,423.55,2896,0,35.0396,0,0,,,,
1,BRISK,BRISK,MAT_BF,SEL_KNN,429.044,3000,0,35.5576,194.158,1578,107,28,12,
2,BRISK,BRISK,MAT_BF,SEL_KNN,435.736,2974,0,34.7422,199.318,1631,130,15,12,
3,BRISK,BRISK,MAT_BF,SEL_KNN,431.34,2953,0,35.6759,197.429,1589,152,7,13,
4,BRISK,BRISK,MAT_BF,SEL_KNN,424.219,2855,0,33.104,187.065,1510,126,9,7,
5,BRISK,BRISK,MAT_BF,SEL_KNN,429.251,2906,0,33.3048,183.239,1497,103,27,16,
6,BRISK,BRISK,MAT_BF,SEL_KNN,431.621,2886,0,33.8693,191.387,1525,121,7,12,
7,BRISK,BRISK,MAT_BF,SEL_KNN,425.332,2886,0,33.7494,183.649,1500,134,5,34,
8,BRISK,BRISK,MAT_BF,SEL_KNN,421.323,2893,0,34.0078,182.875,1494,126,9,9,
9,BRISK,BRISK,MAT_BF,SEL_KNN,428.509,2930,0,34.2923,186.839,1529,132,190,18,
10,BRISK,BRISK,MAT_BF,SEL_KNN,428.004,3022,0,35.1638,195.242,1497,136,18,18,
11,BRISK,BRISK,MAT_BF,SEL_KNN,430.388,3013,0,35.237,200.765,1564,132,12,3,
12,BRISK,BRISK,MAT_BF,SEL_KNN,423.211,2949,0,34.761,195.543,1562,152,19,-10,
13,BRISK,BRISK,MAT_BF,SEL_KNN,423.204,3012,0,37.4482,196.751,1553,157,19,9,
14,BRISK,BRISK,MAT_BF,SEL_KNN,427.801,3026,0,37.0956,203.815,1588,140,12,10,
15,BRISK,BRISK,MAT_BF,SEL_KNN,436.247,3074,0,38.956,211.947,1682,152,38,8,
16,BRISK,BRISK,MAT_BF,SEL_KNN,443.942,3131,3,38.7201,219.139,1687,141,11,3,
17,BRISK,BRISK,MAT_BF,SEL_KNN,425.651,3135,0,36.6912,215.888,1682,158,4,-9,
18,BRISK,BRISK,MAT_BF,SEL_KNN,438.735,3146,38,38.4532,226.369,1775,166,24,8,

0,BRISK,BRIEF,MAT_BF,SEL_KNN,428.695,2896,0,13.9812,0,0,,,,
1,BRISK,BRIEF,MAT_BF,SEL_KNN,427.993,3000,0,13.4167,176.66,1702,114,9,12,
2,BRISK,BRIEF,MAT_BF,SEL_KNN,428.267,2974,0,13.4664,180.557,1777,137,21,12,
3,BRISK,BRIEF,MAT_BF,SEL_KNN,431.83,2953,0,13.4893,178.303,1805,164,17,13,
4,BRISK,BRIEF,MAT_BF,SEL_KNN,420.546,2855,0,12.5162,169.339,1705,130,9,7,
5,BRISK,BRIEF,MAT_BF,SEL_KNN,425.604,2906,0,13.0334,167.242,1715,126,6,16,
6,BRISK,BRIEF,MAT_BF,SEL_KNN,423.952,2886,0,11.9637,168.995,1747,137,11,12,
7,BRISK,BRIEF,MAT_BF,SEL_KNN,431.401,2886,0,13.3651,172.984,1678,152,10,34,
8,BRISK,BRIEF,MAT_BF,SEL_KNN,422.093,2893,0,13.3235,168.146,1675,131,6,9,
9,BRISK,BRIEF,MAT_BF,SEL_KNN,441.376,2930,0,14.4533,177.396,1737,148,26,18,
10,BRISK,BRIEF,MAT_BF,SEL_KNN,442.567,3022,0,14.6858,182.767,1708,142,9,18,
11,BRISK,BRIEF,MAT_BF,SEL_KNN,424.251,3013,0,13.0934,184.628,1741,130,9,3,
12,BRISK,BRIEF,MAT_BF,SEL_KNN,431.766,2949,0,13.1348,180.879,1742,160,13,-10,
13,BRISK,BRIEF,MAT_BF,SEL_KNN,424.71,3012,0,12.9384,176.783,1721,154,5,9,
14,BRISK,BRIEF,MAT_BF,SEL_KNN,438.311,3026,0,15.2597,188.827,1764,158,5,10,
15,BRISK,BRIEF,MAT_BF,SEL_KNN,449.904,3074,0,14.6226,209.422,1850,160,12,8,
16,BRISK,BRIEF,MAT_BF,SEL_KNN,461.696,3131,3,17.0493,215.758,1838,153,12,3,
17,BRISK,BRIEF,MAT_BF,SEL_KNN,449.104,3135,0,16.356,202.588,1908,190,10,-9,
18,BRISK,BRIEF,MAT_BF,SEL_KNN,442.309,3146,38,15.7429,201.088,1956,171,4,8,

0,BRISK,ORB,MAT_BF,SEL_KNN,423.349,2896,0,11.3059,0,0,,,,
1,BRISK,ORB,MAT_BF,SEL_KNN,434.391,3000,0,11.4253,180.437,1480,108,6,12,
2,BRISK,ORB,MAT_BF,SEL_KNN,420.246,2974,0,11.2979,177.819,1523,122,15,12,
3,BRISK,ORB,MAT_BF,SEL_KNN,439.068,2953,0,12.8243,178.964,1517,138,9,13,
4,BRISK,ORB,MAT_BF,SEL_KNN,435.592,2855,0,11.5961,172.385,1436,111,12,7,
5,BRISK,ORB,MAT_BF,SEL_KNN,423.455,2906,0,12.6188,168.117,1422,104,9,16,
6,BRISK,ORB,MAT_BF,SEL_KNN,419.958,2886,0,11.32,165.868,1436,110,7,12,
7,BRISK,ORB,MAT_BF,SEL_KNN,418.21,2886,0,10.8319,165.459,1415,124,95,34,
8,BRISK,ORB,MAT_BF,SEL_KNN,429.762,2893,0,11.7552,164.683,1431,119,3,9,
9,BRISK,ORB,MAT_BF,SEL_KNN,417.022,2930,0,10.6818,169.019,1440,126,2,18,
10,BRISK,ORB,MAT_BF,SEL_KNN,426.888,3022,0,11.5619,175.656,1463,132,5,18,
11,BRISK,ORB,MAT_BF,SEL_KNN,419.828,3013,0,11.4452,180.702,1456,126,8,3,
12,BRISK,ORB,MAT_BF,SEL_KNN,427.963,2949,0,11.0057,175.257,1481,140,135,-10,
13,BRISK,ORB,MAT_BF,SEL_KNN,440.966,3012,0,12.5649,179.694,1479,133,18,9,
14,BRISK,ORB,MAT_BF,SEL_KNN,439.708,3026,0,11.5841,185.506,1536,143,11,10,
15,BRISK,ORB,MAT_BF,SEL_KNN,443.495,3074,0,12.5203,184.905,1557,147,18,8,
16,BRISK,ORB,MAT_BF,SEL_KNN,427.177,3131,3,11.8184,186.813,1554,127,9,3,
17,BRISK,ORB,MAT_BF,SEL_KNN,426.339,3135,0,12.7511,192.865,1590,152,16,-9,
18,BRISK,ORB,MAT_BF,SEL_KNN,434.996,3146,38,12.7417,198.024,1644,152,5,8,

0,BRISK,FREAK,MAT_BF,SEL_KNN,424.204,2896,0,77.2304,0,0,,,,
1,BRISK,FREAK,MAT_BF,SEL_KNN,431.526,3000,0,75.6436,136.166,1396,102,16,12,
2,BRISK,FREAK,MAT_BF,SEL_KNN,420.812,2974,0,73.3911,134.928,1470,125,8,12,
3,BRISK,FREAK,MAT_BF,SEL_KNN,428.93,2953,0,74.6866,139.072,1477,135,17,13,
4,BRISK,FREAK,MAT_BF,SEL_KNN,428.999,2855,0,76.3713,135.759,1428,119,8,7,
5,BRISK,FREAK,MAT_BF,SEL_KNN,425.652,2906,0,75.6114,133.016,1391,97,12,16,
6,BRISK,FREAK,MAT_BF,SEL_KNN,427.94,2886,0,75.577,135.754,1388,110,12,12,
7,BRISK,FREAK,MAT_BF,SEL_KNN,427.61,2886,0,76.3935,133.829,1364,127,14,34,
8,BRISK,FREAK,MAT_BF,SEL_KNN,426.092,2893,0,75.7603,127.4,1368,117,9,9,
9,BRISK,FREAK,MAT_BF,SEL_KNN,422.067,2930,0,72.8358,129.944,1382,124,23,18,
10,BRISK,FREAK,MAT_BF,SEL_KNN,435.187,3022,0,75.8016,140.375,1370,138,9,18,
11,BRISK,FREAK,MAT_BF,SEL_KNN,428.831,3013,0,74.7994,137.321,1412,123,7,3,
12,BRISK,FREAK,MAT_BF,SEL_KNN,426.346,2949,0,73.5048,129.756,1382,151,15,-10,
13,BRISK,FREAK,MAT_BF,SEL_KNN,436.664,3012,0,75.7232,136.644,1355,137,14,9,
14,BRISK,FREAK,MAT_BF,SEL_KNN,432.801,3026,0,73.9935,135.55,1376,132,13,10,
15,BRISK,FREAK,MAT_BF,SEL_KNN,428.624,3074,0,75.7139,138.219,1475,142,32,8,
16,BRISK,FREAK,MAT_BF,SEL_KNN,426.139,3131,3,73.4669,142.389,1465,139,10,3,
17,BRISK,FREAK,MAT_BF,SEL_KNN,428.457,3135,0,74.1775,145.201,1544,153,20,-9,
18,BRISK,FREAK,MAT_BF,SEL_KNN,425.663,3146,38,76.8239,151.464,1541,142,16,8,

0,BRISK,SIFT,MAT_BF,SEL_KNN,423.981,2896,0,537.925,0,0,,,,
1,BRISK,SIFT,MAT_BF,SEL_KNN,428.603,3000,0,552.812,382.796,1740,112,3,12,
2,BRISK,SIFT,MAT_BF,SEL_KNN,421.282,2974,0,542.929,383.428,1774,126,13,12,
3,BRISK,SIFT,MAT_BF,SEL_KNN,430.756,2953,0,555.785,385.179,1780,151,2,13,
4,BRISK,SIFT,MAT_BF,SEL_KNN,418.864,2855,0,532.38,339.956,1756,130,14,7,
5,BRISK,SIFT,MAT_BF,SEL_KNN,426.552,2906,0,538.269,342.819,1718,111,9,16,
6,BRISK,SIFT,MAT_BF,SEL_KNN,427.628,2886,0,527.39,368.143,1704,124,5,12,
7,BRISK,SIFT,MAT_BF,SEL_KNN,433.247,2886,0,532.268,359.829,1698,137,6,34,
8,BRISK,SIFT,MAT_BF,SEL_KNN,428.435,2893,0,539.02,370.472,1669,125,7,9,
9,BRISK,SIFT,MAT_BF,SEL_KNN,426.699,2930,0,538.625,377.677,1682,145,8,18,
10,BRISK,SIFT,MAT_BF,SEL_KNN,425.312,3022,0,542.65,391.755,1712,151,3,18,
11,BRISK,SIFT,MAT_BF,SEL_KNN,420.135,3013,0,547.824,394.079,1751,129,3,3,
12,BRISK,SIFT,MAT_BF,SEL_KNN,424.468,2949,0,535.997,394.315,1716,166,9,-10,
13,BRISK,SIFT,MAT_BF,SEL_KNN,421.758,3012,0,545.77,392.321,1773,158,3,9,
14,BRISK,SIFT,MAT_BF,SEL_KNN,423.972,3026,0,544.462,380.765,1715,149,3,10,
15,BRISK,SIFT,MAT_BF,SEL_KNN,427.332,3074,0,555.552,405.637,1801,158,14,8,
16,BRISK,SIFT,MAT_BF,SEL_KNN,428.361,3131,3,592.853,420.179,1820,138,12,3,
17,BRISK,SIFT,MAT_BF,SEL_KNN,427.52,3135,0,573.011,429.916,1872,167,1,-9,
18,BRISK,SIFT,MAT_BF,SEL_KNN,429.734,3146,38,576.813,431.745,1897,175,3,8,

0,ORB,BRISK,MAT_BF,SEL_KNN,9.49128,500,0,5.78528,0,0,,,,
1,ORB,BRISK,MAT_BF,SEL_KNN,9.02313,500,0,5.71363,3.61322,311,43,11,12,
2,ORB,BRISK,MAT_BF,SEL_KNN,8.92841,500,0,5.80862,3.80779,290,44,7,12,
3,ORB,BRISK,MAT_BF,SEL_KNN,9.07702,500,0,5.82365,3.82317,298,51,37,13,
4,ORB,BRISK,MAT_BF,SEL_KNN,9.5148,500,0,6.05481,3.91475,291,48,43,7,
5,ORB,BRISK,MAT_BF,SEL_KNN,9.13602,500,0,5.9148,3.78072,316,48,2,16,
6,ORB,BRISK,MAT_BF,SEL_KNN,8.97705,500,0,5.95997,4.16426,318,54,5,12,
7,ORB,BRISK,MAT_BF,SEL_KNN,10.06,500,0,6.11066,4.12957,306,54,14,34,
8,ORB,BRISK,MAT_BF,SEL_KNN,10.1803,500,0,6.48256,4.19529,309,51,12,9,
9,ORB,BRISK,MAT_BF,SEL_KNN,9.71974,500,0,5.91356,3.97178,309,45,39,18,
10,ORB,BRISK,MAT_BF,SEL_KNN,9.3828,500,0,5.76115,4.25091,315,49,12,18,
11,ORB,BRISK,MAT_BF,SEL_KNN,9.52101,500,0,5.70151,3.8951,311,41,17,3,
12,ORB,BRISK,MAT_BF,SEL_KNN,11.2033,500,0,5.85311,4.05975,315,49,25,-10,
13,ORB,BRISK,MAT_BF,SEL_KNN,10.2453,500,0,5.6242,3.81503,316,49,6,9,
14,ORB,BRISK,MAT_BF,SEL_KNN,10.6129,500,0,6.06861,3.95898,300,0,-2147483648,10,
15,ORB,BRISK,MAT_BF,SEL_KNN,9.13067,500,0,5.74135,3.83025,313,43,8,8,
16,ORB,BRISK,MAT_BF,SEL_KNN,10.4512,500,3,6.05458,4.09757,326,52,9,3,
17,ORB,BRISK,MAT_BF,SEL_KNN,9.17937,500,0,6.3613,4.22092,320,49,22,-9,
18,ORB,BRISK,MAT_BF,SEL_KNN,9.60436,500,38,5.98834,4.24144,340,50,16,8,

0,ORB,BRIEF,MAT_BF,SEL_KNN,9.40106,500,0,2.79377,0,0,,,,
1,ORB,BRIEF,MAT_BF,SEL_KNN,9.67598,500,0,4.5543,7.89217,221,27,10,12,
2,ORB,BRIEF,MAT_BF,SEL_KNN,9.13238,500,0,2.669,12.4428,247,35,14,12,
3,ORB,BRIEF,MAT_BF,SEL_KNN,8.81511,500,0,2.57447,12.6258,229,47,7,13,
4,ORB,BRIEF,MAT_BF,SEL_KNN,10.0072,500,0,2.61959,10.9202,222,36,10,7,
5,ORB,BRIEF,MAT_BF,SEL_KNN,10.352,500,0,2.713,9.7913,248,33,6,16,
6,ORB,BRIEF,MAT_BF,SEL_KNN,9.19498,500,0,2.78741,12.6464,233,28,10,12,
7,ORB,BRIEF,MAT_BF,SEL_KNN,9.30131,500,0,3.02186,8.85541,234,42,12,34,
8,ORB,BRIEF,MAT_BF,SEL_KNN,9.99954,500,0,2.58949,11.4789,244,42,33,9,
9,ORB,BRIEF,MAT_BF,SEL_KNN,11.0847,500,0,4.30439,5.40095,242,38,5061626,18,
10,ORB,BRIEF,MAT_BF,SEL_KNN,9.22647,500,0,2.64171,12.5603,223,38,3,18,
11,ORB,BRIEF,MAT_BF,SEL_KNN,9.34321,500,0,2.65359,11.8402,226,26,15,3,
12,ORB,BRIEF,MAT_BF,SEL_KNN,9.51171,500,0,2.68117,9.2332,252,33,21,-10,
13,ORB,BRIEF,MAT_BF,SEL_KNN,10.0317,500,0,2.64952,10.951,229,27,9,9,
14,ORB,BRIEF,MAT_BF,SEL_KNN,9.88681,500,0,2.67375,11.6218,238,42,9,10,
15,ORB,BRIEF,MAT_BF,SEL_KNN,11.1333,500,0,2.82178,9.48662,262,30,13,8,
16,ORB,BRIEF,MAT_BF,SEL_KNN,9.38921,500,3,2.6485,12.6075,219,32,9,3,
17,ORB,BRIEF,MAT_BF,SEL_KNN,9.41057,500,0,2.62323,12.5449,223,30,20,-9,
18,ORB,BRIEF,MAT_BF,SEL_KNN,10.4016,500,38,2.75163,11.5008,240,28,21,8,

0,ORB,ORB,MAT_BF,SEL_KNN,9.52867,500,0,8.42102,0,0,,,,
1,ORB,ORB,MAT_BF,SEL_KNN,9.1883,500,0,8.4517,7.85043,330,39,13,12,
2,ORB,ORB,MAT_BF,SEL_KNN,9.64195,500,0,8.09515,7.90705,321,43,6,12,
3,ORB,ORB,MAT_BF,SEL_KNN,9.13504,500,0,7.40461,8.32297,327,52,8,13,
4,ORB,ORB,MAT_BF,SEL_KNN,9.11582,500,0,7.38182,8.31017,320,47,21,7,
5,ORB,ORB,MAT_BF,SEL_KNN,9.11374,500,0,7.35474,8.31974,318,37,19,16,
6,ORB,ORB,MAT_BF,SEL_KNN,9.25408,500,0,8.22457,8.07996,343,48,3,12,
7,ORB,ORB,MAT_BF,SEL_KNN,9.84818,500,0,8.02979,7.83551,327,55,4,34,
8,ORB,ORB,MAT_BF,SEL_KNN,10.4632,500,0,7.60475,5.50095,344,53,4,9,
9,ORB,ORB,MAT_BF,SEL_KNN,8.9703,500,0,7.27004,8.48792,343,52,11,18,
10,ORB,ORB,MAT_BF,SEL_KNN,12.393,500,0,6.6782,5.54722,320,40,10,18,
11,ORB,ORB,MAT_BF,SEL_KNN,9.92384,500,0,8.08969,7.95494,325,41,5,3,
12,ORB,ORB,MAT_BF,SEL_KNN,10.3664,500,0,8.07384,5.55964,325,48,25,-10,
13,ORB,ORB,MAT_BF,SEL_KNN,9.93064,500,0,7.80648,7.58107,309,49,12,9,
14,ORB,ORB,MAT_BF,SEL_KNN,9.33934,500,0,7.32508,8.41565,345,52,9,10,
15,ORB,ORB,MAT_BF,SEL_KNN,10.0533,500,0,7.8211,7.76886,335,47,21,8,
16,ORB,ORB,MAT_BF,SEL_KNN,10.7502,500,3,8.73809,7.55948,312,47,10,3,
17,ORB,ORB,MAT_BF,SEL_KNN,9.42892,500,0,7.27629,8.51529,344,51,18,-9,
18,ORB,ORB,MAT_BF,SEL_KNN,11.2209,500,38,7.4137,5.53862,330,45,6,8,

0,ORB,FREAK,MAT_BF,SEL_KNN,8.90051,500,0,54.4591,0,0,,,,
1,ORB,FREAK,MAT_BF,SEL_KNN,11.2489,500,0,54.9858,0.766098,109,18,10,12,
